Model,CV Accuracy,Test Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.9676136363636363,0.9727272727272728,0.974021729904083,0.9727272727272728,0.9724640256149185
K-Nearest Neighbors,0.9659090909090908,0.9795454545454545,0.9803555030827759,0.9795454545454545,0.9792832328133997
Decision Tree,0.9852272727272726,0.9795454545454545,0.9805981896890988,0.9795454545454545,0.979423151374371
Random Forest,0.99375,0.9954545454545455,0.9956709956709956,0.9954545454545455,0.9954517027687759
Support Vector Machine,0.9761363636363637,0.9840909090909091,0.9856099105110961,0.9840909090909091,0.9840381050638686
